company_name,address,url,phone,site,company_id,CategoriesShow,SalesLevel
深圳市智博通电子有限公司,深圳市龙华区福城街道福民社区核电工业园8号201、301、401,https://logistics.tungee.com/enterprise-details/37622feb5d8532b4/enterprise-information/basic-information,18818687909,"美国站,英国站,德国站,荷兰站,意大利站,西班牙站,比利时站,波兰站,加拿大站,墨西哥站,巴西站,法国站,瑞典站",37622feb5d8532b4,"网络设备,计算机及配件,配件",中等销量
广州巨圆电子科技有限公司,广州市白云区鹤龙街联边彭上新村西路3号305房,https://logistics.tungee.com/enterprise-details/37622fbb99c53685/enterprise-information/basic-information,13570218998,"美国站,荷兰站,法国站,西班牙站,波兰站,瑞典站,加拿大站,英国站,德国站,墨西哥站,意大利站,比利时站,土耳其站",37622fbb99c53685,"汽车电子、电器,安全和监控,车辆电子配件,配件,汽车电子、电器,电子,导航仪配件,汽车电子、电器,外设产品,电视配件,电源配件,照明和电气,导航仪配件,汽车外饰,扫描仪和配件,Electronique embarqu e",高销量
深圳市普光太阳能有限公司,深圳市龙岗区平湖街道禾花社区兴联工业区三巷3号B栋401,https://logistics.tungee.com/enterprise-details/37622fcf2d053916/enterprise-information/basic-information,13510027129,"美国站,加拿大站,英国站,德国站,墨西哥站,荷兰站,意大利站,法国站,西班牙站,比利时站,波兰站,瑞典站,土耳其站,巴西站",37622fcf2d053916,"太阳能和风力发电,弹簧,发电机和便携式电源,试电笔,配件,手机配件,动力传输产品,手机配件,电池、充电器,电工,运动,计算机及配件,Énergie solaire et  olienne,光源,太阳能和风力发电,电子产品,控制电缆,MP3播放器配件",高销量
浙江凯莱特工贸有限公司,浙江省丽水市缙云县舒洪镇黄平路8号,https://logistics.tungee.com/enterprise-details/37622fc034c53962/enterprise-information/basic-information,15869206061,"美国站,德国站,日本站,荷兰站,意大利站,法国站,西班牙站,比利时站,波兰站,瑞典站,加拿大站,英国站,墨西哥站",37622fc034c53962,"家具,游戏和休闲室家具,客厅家具,家居和厨房,办公家具,真空吸尘器零件和配件,摩托车零件及配件,汽车座套、坐垫,点火系统及配件,内饰配件,家居装饰,双肩背包",高销量
武汉李氏越洋发制品有限公司,武汉东湖新技术开发区光谷大道以南、凤凰中路以西光谷动力节能环保科技企业孵化器(加速器)二期3A栋3层01号03号房,https://logistics.tungee.com/enterprise-details/37623013d6bf3a43/enterprise-information/basic-information,,"美国站,加拿大站,英国站,德国站,墨西哥站,荷兰站,意大利站,法国站,西班牙站,比利时站,波兰站,瑞典站,土耳其站",37623013d6bf3a43,"制作,美发护发,假发,装扮与饰品,女童,发饰,体操服,男宝专区,女士,儿童洗澡用品,浴室用具配件,娃娃,工艺用品,假发,装扮与饰品,日常办公用品,娃娃,制陶工艺,Delta Faucet,汽车用品,劳保用品,娃娃屋附件,娃娃配饰,玩具,节日饰品,浴室用品,娃娃,家用电池,取暖炉、壁炉,开关、继电器,骑行,厨房保鲜、收纳,游戏、学步,运动户外",高销量
福建天汇实业股份有限公司,厦门市湖里区乌石浦二里54号,https://logistics.tungee.com/enterprise-details/577d78d9fff21380/enterprise-information/basic-information,13599735008,"美国站,加拿大站,英国站,墨西哥站,德国站,荷兰站,意大利站,法国站,西班牙站,比利时站,波兰站,瑞典站",577d78d9fff21380,"收纳用品,厨房保鲜、收纳,家居装饰,办公礼品包装,Cocina,厨房保鲜、收纳,咖啡用品,厨房和餐厅,饰品配件,厨房和餐厅",高销量
济南有人物联网技术有限公司,山东省济南市高新区世纪大道2566号济南迪亚双创产业园内的9#楼F1层及部分F2层,https://logistics.tungee.com/enterprise-details/37632775002698e9/enterprise-information/basic-information,15064133977,"美国站,加拿大站,英国站,德国站,墨西哥站,荷兰站,意大利站,巴西站,法国站,西班牙站,新加坡站,比利时站,波兰站,瑞典站",37632775002698e9,"配件,外设产品,网络设备,计算机及配件,网络设备,计算机及配件,计算机及配件,网络设备,计算机及配件,网络设备,计算机及配件,网络设备,计算机及配件,电脑组件,布线和连接,网络设备,计算机及配件,外设产品,手机和配件,计算机及配件,计算机及配件,手机配件,计算机及配件,Komputery, komponenty i akcesoria,配件及用品,安全和监控,五金,电脑组件",中等销量
广州顶诚电子科技有限公司,广州市白云区人和镇东华东昌路7号B栋1层101号,https://logistics.tungee.com/enterprise-details/37622fdde3853164/enterprise-information/basic-information,13298389006,"美国站,英国站,意大利站,法国站,西班牙站,波兰站,加拿大站,德国站,墨西哥站,荷兰站,巴西站,比利时站,瑞典站,土耳其站",37622fdde3853164,"梯子及搬运工具,建筑材料,手动工具,电动工具,电动工具,电动工具,梯子及搬运工具,车库收纳,劳保用品,电动工具,家具五金,照明总成和配件,户外电动工具,地毯及室内装饰品清洁和配件,电焊工具,庭院桌,梯子及搬运工具,吸尘器,演示板,保险柜,咖啡用品,手动工具,安全标志和信号,手套和防护用具,车辆维修车间设备,轮胎、轮毂工具,汽车电子、电器,家具,Delta Faucet,手动工具,缝纫机零配件,家用电池,汽车电子、电器,户外电动工具,办公家具,搁板、置物架,牲畜用品,小宠用品,梯子及搬运工具,服饰及配件,梳理美容用具,Malibu,车辆电子产品,家装工具,Muebles,电动工具,订书钉,S curit ,Tondeuses et outillage de jardin motoris ,彩弹,露营、徒步,汽车外饰,熨斗和蒸汽挂烫机,其他运动,卫浴用品,客厅家具,油漆涂料与墙纸,表单、记录和钱币管理,床及家具,配件,烤炉配件,摩托车零件及配件,厨房电器,零件,轮胎、轮毂工具,天蓬、凉亭和凉棚,重音和越野照明,DVD播放器,焊接",高销量
江苏永盛氟塑新材料有限公司,泰兴市农产品加工园区恒丰路8号,https://logistics.tungee.com/enterprise-details/37622fdea8053249/enterprise-information/basic-information,13905266962,"美国站,英国站,德国站,日本站,荷兰站,意大利站,法国站,西班牙站,比利时站,波兰站,瑞典站,土耳其站,加拿大站,墨西哥站",37622fdea8053249,"厨房和餐厅,烘焙用品,厨房和餐厅,厨房和餐厅,咖啡用品,厨用小工具,餐厨布艺,厨房保鲜、收纳,炊具,喂食、喂水用具,范围、烤箱和炉灶,厨房和餐厅,运动用品,Couteaux et ustensiles de cuisine,大家电零配件,厨房保鲜、收纳,缝纫机零配件,Cooking & Dining,冰箱零配件,手动工具,浴室用品,大家电零配件,烤炉配件,Kitchen Linen,手动工具,烤炉配件,餐厨布艺,小型健身用品,家具,儿童洗澡用品,庭院、草坪和园艺",高销量
洛阳速飞信工业技术有限公司,中国(河南)自由贸易试验区洛阳片区涧西区蓬莱路2号洛阳国家大学科技园B区2号楼104室,https://logistics.tungee.com/enterprise-details/39b82f1c98eb4269/enterprise-information/basic-information,13608659603,"美国站,加拿大站,英国站,德国站,墨西哥站,荷兰站,意大利站,法国站,西班牙站,比利时站,波兰站,巴西站,瑞典站,土耳其站",39b82f1c98eb4269,"手动工具,Malibu,切割工具,工艺用品,手动工具,工具配件,工具配件,手动工具,电动工具,珠饰、首饰制作用品,制作,手动工具,工业与科研用品,电动工具,劳保用品,控制电缆,家装工具,焊接设备,手动工具,激光测量设备及配件,手工测量工具,工业电动工具,配件,珠饰、首饰制作用品,电动工具,工具配件,批头,摄影摄像,焊接,标记工具,焊接设备,家装工具,劳保用品,手动工具,切割工具,镜头,制作,物料搬运,邮箱及配件,汽车内饰,电动工具,配件,工业工具,螺母,切割工具,工具配件,电工,Herramientas Manuales,螺纹板牙,激光测量设备及配件,手动工具,打印机和配件,家居装修,电动工具,电焊工具,车库收纳,电动工具,建筑材料,门用五金,灯具配件,艺术品、工艺品和缝纫用品,材料处理用品,电源配件,营养保健品,铣削工具,电焊工具,家用清洁剂,Outillage à main et  lectroportatif,冷水器和净水器,办公设备,布线和连接,柜橱五金件,手动工具,增材制造产品,沐浴,Herramientas para Medición y Diseño,吸尘器和地板护理,五金,Cocina,实验室及科研用品,手动工具,砂轮,清洁剂,骑行,电动工具,发动机工具及设备,五金,油漆涂料与墙纸,检测、分析,传送带,电动工具,汽车保养,裁切和测量设备,工业与科研用品,厨房和餐厅,螺纹嵌件,电焊工具,旋钮和手轮,电焊工具,螺纹丝锥,工具配件,切割工具,小型健身用品,衣物清洁,工具配件,家居装修,S curit ,电脑组件,建筑材料,餐厨布艺,绗缝用品,手工测量工具,衣物清洁,酒类配件,Foto e videocamere,尺寸测量,管件、管道和软管",中等销量
